g) | Temp = 33.12 degC 
Gyro: X =    0.05771, Y =    0.04580, Z =    0.08656 (dps) | Acc: X = 0.00011, Y = 0.00232, Z = 0.99960 (g) | Temp = 33.32 degC 
Gyro: X =   -0.04153, Y =    0.12977, Z =    0.00260 (dps) | Acc: X = -0.00257, Y = 0.00403, Z = 1.00375 (g) | Temp = 33.41 degC 
Gyro: X =    0.03481, Y =   -0.09924, Z =    0.03313 (dps) | Acc: X = -0.00160, Y = -0.00232, Z = 0.99887 (g) | Temp = 33.17 degC 
Gyro: X =   -0.22473, Y =    0.05344, Z =    0.01786 (dps) | Acc: X = -0.00282, Y = -0.00061, Z = 0.99691 (g) | Temp = 33.32 degC 
Gyro: X =    0.03481, Y =    0.10687, Z =   -0.20351 (dps) | Acc: X = -0.00233, Y = 0.00281, Z = 0.99447 (g) | Temp = 33.51 degC 
Gyro: X =   -0.14076, Y =   -0.11450, Z =    0.11710 (dps) | Acc: X = -0.00062, Y = 0.00183, Z = 0.99887 (g) | Temp = 33.22 degC 
Gyro: X =   -0.09496, Y =    0.14504, Z =   -0.14244 (dps) | Acc: X = 0.00036, Y = 0.00159, Z = 0.99569 (g) | Temp = 33.17 degC 
Gyro: X =    0.05771, Y =   -0.16794, Z =    0.07130 (dps) | Acc: X = 0.00109, Y = 0.00085, Z = 0.99740 (g) | Temp = 32.98 degC 
Gyro: X =   -0.08733, Y =    0.00763, Z =    0.16290 (dps) | Acc: X = -0.00111, Y = 0.00061, Z = 0.99472 (g) | Temp = 33.36 degC 
Gyro: X =    0.16458, Y =    0.03053, Z =    0.17053 (dps) | Acc: X = -0.00208, Y = -0.00061, Z = 1.00033 (g) | Temp = 33.32 degC 
Gyro: X =    0.15695, Y =    0.24427, Z =    0.04076 (dps) | Acc: X = -0.00184, Y = -0.00232, Z = 1.00204 (g) | Temp = 33.17 degC 
Gyro: X =   -0.24000, Y =    0.16031, Z =   -0.16534 (dps) | Acc: X = -0.00086, Y = -0.00183, Z = 0.99667 (g) | Temp = 33.32 degC 
Gyro: X =   -0.17893, Y =   -0.17557, Z =   -0.06611 (dps) | Acc: X = -0.00428, Y = 0.00525, Z = 0.99374 (g) | Temp = 33.17 degC 
Gyro: X =   -0.12550, Y =    0.05344, Z =    0.01023 (dps) | Acc: X = -0.00135, Y = -0.00037, Z = 0.99643 (g) | Temp = 33.17 degC 
Gyro: X =   -0.27053, Y =   -0.18321, Z =   -0.08137 (dps) | Acc: X = -0.00257, Y = -0.00061, Z = 0.99838 (g) | Temp = 33.22 degC 
Gyro: X =    0.09588, Y =    0.00763, Z =    0.12473 (dps) | Acc: X = 0.00011, Y = -0.00085, Z = 0.99276 (g) | Temp = 33.65 degC 
Gyro: X =    0.17221, Y =   -0.29771, Z =    0.13237 (dps) | Acc: X = 0.00231, Y = 0.00037, Z = 0.99960 (g) | Temp = 33.32 degC 
Gyro: X =   -0.17893, Y =    0.23664, Z =    0.00260 (dps00158, Y = 0.000) | Acc: X = 0.37, Z = 0.99569 (g) | Temp = 33.32 degC 
Gyro: X =    0.08824, Y =   -0.19084, Z =    0.03313 (dps) | Acc: X = 0.00036, Y = -0.00232, Z = 1.00644 (g) | Temp = 33.17 degC 
Gyro: X =    0.00427, Y =   -0.28244, Z =   -0.02794 (dps) | Acc: X = -0.00331, Y = -0.00012, Z = 0.99813 (g) | Temp = 33.32 degC 
Gyro: X =   -0.05679, Y =   -0.25191, Z =    0.04076 (dps) | Acc: X = -0.00257, Y = -0.00305, Z = 0.99984 (g) | Temp = 33.32 degC 
Gyro: X =    0.12641, Y =    0.22137, Z =   -0.07374 (dps) | Acc: X = -0.00379, Y = -0.00305, Z = 1.00570 (g) | Temp = 33.17 degC 
Gyro: X =   -0.14840, Y =    0.00000, Z =    0.04076 (dps) | Acc: X = 0.00060, Y = -0.00452, Z = 0.99936 (g) | Temp = 33.22 degC 
Gyro: X =    0.07298, Y =    0.05344, Z =   -0.08137 (dps) | Acc: X = 0.00255, Y = 0.00134, Z = 0.99838 (g) | Temp = 33.36 degC 
Gyro: X =    0.11115, Y =    0.03053, Z =   -0.10427 (dps) | Acc: X = -0.00038, Y = -0.00159, Z = 0.99740 (g) | Temp = 33.17 degC 
Gyro: X =    0.17221, Y =   -0.09160, Z =   -0.25695 (dps) | Acc: X = -0.00355, Y = -0.00134, Z = 1.00131 (g) | Temp = 33.17 degC 
Gyro: X =    0.01191, Y =    0.06107, Z =   -0.05847 (dps) | Acc: X = -0.00062, Y = -0.00061, Z = 1.00448 (g) | Temp = 33.36 degC 
Gyro: X =    0.09588, Y =   -0.06107, Z =   -0.08901 (dps) | Acc: X = 0.00158, Y = -0.00012, Z = 0.99887 (g) | Temp = 33.17 degC 
Gyro: X =   -0.07206, Y =    0.23664, Z =    0.13237 (dps) | Acc: X = -0.00160, Y = -0.00110, Z = 1.00082 (g) | Temp = 33.17 degC 
Gyro: X =    0.18748, Y =   -0.06107, Z =    0.09420 (dps) | Acc: X = -0.00184, Y = -0.00305, Z = 1.00497 (g) | Temp = 33.17 degC 
Gyro: X =    0.10351, Y =   -0.03053, Z =   -0.18061 (dps) | Acc: X = -0.00257, Y = -0.00037, Z = 0.99643 (g) | Temp = 33.03 degC 
Gyro: X =   -0.12550, Y =   -0.28244, Z =    0.09420 (dps) | Acc: X = -0.00111, Y = 0.00354, Z = 0.99960 (g) | Temp = 33.22 degC 
Gyro: X =   -0.03389, Y =    0.06107, Z =   -0.07374 (dps) | Acc: X = 0.00475, Y = 0.00037, Z = 1.00399 (g) | Temp = 33.22 degC 
Gyro: X =   -0.14840, Y =   -0.06870, Z =   -0.41725 (dps) | Acc: X = 0.00109, Y = 0.00110, Z = 0.99984 (g) | Temp = 33.17 degC 
Gyro: X =   -0.04916, Y =   -0.18321, Z =   -0.07374 (dps) | Acc: X = -0.00184, Y = 0.00110, Z = 1.00009 (g) | Temp = 33.36 degC 
Gyro: X =    0.07298, Y =   -0.20611, Z =   -0.07374 (dps) | Acc: X = -0.00379, Y = 0.00110, Z = 0.99545 (g) | Temp = 33.17 degC 
Gyro: X =    0.09588, Y =   -0.34351, Z =    0.17053 (dps) | Acc: X = -0.00013, Y = 0.00085, Z = 1.00399 (g) | Temp = 33.51 degC 
Gyro: X =   -0.16366, Y =    0.04580, Z =   -0.03557 (dps) | Acc: X = 0.00060, Y = 0.00012, Z = 1.00668 (g) | Temp = 33.22 degC 
Gyro: X =   -0.06443, Y =   -0.10687, Z =   -0.07374 (dps) | Acc: X = 0.00011, Y = -0.00281, Z = 0.99984 (g) | Temp = 33.17 degC 
Gyro: X =   -0.10260, Y =   -0.22137, Z =    0.03313 (dps) | Acc: X = -0.00160, Y = -0.00037, Z = 1.00082 (g) | Temp = 33.32 degC 
Gyro: X =   -0.09496, Y =    0.17557, Z =    0.10947 (dps) | Acc: X = -0.00501, Y = 0.00281, Z = 1.00204 (g) | Temp = 33.22 degC 
Gyro: X =    0.27908, Y =    0.04580, Z =    0.06366 (dps) | Acc: X = -0.00331, Y = 0.00549, Z = 1.00424 (g) | Temp = 33.22 degC 
Gyro: X =   -0.07969, Y =   -0.15267, Z =   -0.02031 (dps) | Acc: X = -0.00013, Y = 0.00012, Z = 1.00204 (g) | Temp = 33.36 degC 
Gyro: X =    0.01954, Y =    0.15267, Z =   -0.12718 (dps) | Acc: X = -0.00306, Y = 0.00183, Z = 1.00009 (g) | Temp = 33.12 degC 
Gyro: X =   -0.05679, Y =    0.02290, Z =   -0.11954 (dps) | Acc: X = -0.00184, Y = 0.00256, Z = 1.00082 (g) | Temp = 33.17 degC 
Gyro: X =    0.05008, Y =    0.09160, Z =    0.01786 (dps) | Acc: X = -0.00038, Y = 0.00183, Z = 0.99521 (g) | Temp = 33.17 degC 
Gyro: X =    0.13405, Y =   -0.11450, Z =    0.10947 (dps) | Acc: X = -0.00306, Y = 0.00134, Z = 0.99862 (g) | Temp = 33.22 degC 
Gyro: X =   -0.16366, Y =   -0.23664, Z =    0.08656 (dps) | Acc: X = 0.00207, Y = 0.00110, Z = 0.99740 (g) | Temp = 33.22 degC 
Gyro: X =    0.01954, Y =   -0.11450, Z =   -0.05084 (dps) | Acc: X = 0.00011, Y = 0.00354, Z = 1.00351 (g) | Temp = 33.41 degC 
Gyro: X =    0.04244, Y =    0.06870, Z =    0.04840 (dps) | Acc: X = -0.00111, Y = 0.00403, Z = 0.99569 (g) | Temp = 33.32 degC 
Gyro: X =   -0.15603, Y =   -0.06870, Z =   -0.27985 (dps) | Acc: X = -0.00062, Y = 0.00208, Z = 0.99960 (g) | Temp = 33.32 degC 
Gyro: X =    0.03481, Y =    0.02290, Z =    0.27740 (dps) | Acc: X = 0.00133, Y = 0.00134, Z = 0.99667 (g) | Temp = 33.41 degC 
Gyro: X =   -0.24763, Y =   -0.03053, Z =    0.13237 (dps) | Acc: X = -0.00062, Y = 0.00012, Z = 0.99789 (g) | Temp = 33.22 degC 
Gyro: X =    0.14168, Y =   -0.12977, Z =    0.21634 (dps) | Acc: X = 0.00011, Y = 0.00305, Z = 0.99960 (g) | Temp = 33.41 degC 
Gyro: X =    0.16458, Y =   -0.14504, Z =   -0.07374 (dps) | Acc: X = -0.00135, Y = 0.00232, Z = 1.00277 (g) | Temp = 33.17 degC 
Gyro: X =    0.06534, Y =   -0.06107, Z =    0.17053 (dps) | Acc: X = 0.00133, Y = 0.00037, Z = 1.00058 (g) | Temp = 33.32 degC 
Gyro: X =    0.01191, Y =    0.06870, Z =   -0.26458 (dps) | Acc: X = 0.00231, Y = -0.00110, Z = 1.01034 (g) | Temp = 33.22 degC 
Gyro: X =   -0.10260, Y =    0.05344, Z =    0.07893 (dps) | Acc: X = -0.00013, Y = -0.00134, Z = 1.00619 (g) | Temp = 33.41 degC 
Gyro: X =    0.03481, Y =    0.19084, Z =    0.22397 (dps) | Acc: X = -0.00379, Y = -0.00012, Z = 0.99643 (g) | Temp = 33.32 degC 
Gyro: X =   -0.07969, Y =   -0.12977, Z =   -0.20351 (dps) | Acc: X = -0.00428, Y = -0.00085, Z = 1.00473 (g) | Temp = 33.41 degC 
Gyro: X =    0.03481, Y =   -0.03817, Z =    0.07893 (dps) | Acc: X = 0.00182, Y = -0.00037, Z = 0.99813 (g) | Temp = 33.22 degC 
Gyro: X =   -0.19420, Y =   -0.02290, Z =   -0.15008 (dps) | Acc: X = -0.00526, Y = -0.00037, Z = 0.99936 (g) | Temp = 33.41 degC 
Gyro: X =   -0.20183, Y =   -0.14504, Z =   -0.13481 (dps) | Acc: X = 0.00011, Y = -0.00012, Z = 0.99838 (g) | Temp = 33.17 degC 
Gyro: X =    0.05008, Y =    0.00000, Z =   -0.06611 (dps) | Acc: X = 0.00060, Y = -0.00159, Z = 1.00351 (g) | Temp = 33.17 degC 
Gyro: X =   -0.06443, Y =   -0.31298, Z =   -0.11191 (dps) | Acc: X = 0.00231, Y = 0.00696, Z = 1.00326 (g) | Temp = 33.17 degC 
Gyro: X =   -0.04153, Y =    0.00763, Z =    0.11710 (dps) | Acc: X = 0.00060, Y = 0.00281, Z = 1.00424 (g) | Temp = 33.17 degC 
Gyro: X =    0.08824, Y =    0.04580, Z =   -0.10427 (dps) | Acc: X = -0.00184, Y = -0.00037, Z = 0.99887 (g) | Temp = 33.32 degC 
Gyro: X =   -0.20183, Y =    0.10687, Z =   -0.01267 (dps) | Acc: X = -0.00697, Y = -0.00159, Z = 1.00351 (g) | Temp = 33.17 degC 
Gyro: X =    0.10351, Y =    0.01527, Z =   -0.15008 (dps) | Acc: X = -0.00355, Y = 0.00159, Z = 1.00351 (g) | Temp = 33.32 degC 
Gyro: X =   -0.05679, Y =   -0.19847, Z =    0.05603 (dps) | Acc: X = -0.00233, Y = -0.00037, Z = 0.99569 (g) | Temp = 33.32 degC 
Gyro: X =   -0.01099, Y =    0.00763, Z =   -0.20351 (dps) | Acc: X = 0.00207, Y = -0.00256, Z = 1.00009 (g) | Temp = 33.36 degC 
Gyro: X =   -0.07206, Y =   -0.14504, Z =   -0.08137 (dps) | Acc: X = -0.00404, Y = 0.00427, Z = 0.99374 (g) | Temp = 33.32 degC 
Gyro: X =   -0.15603, Y =   -0.14504, Z =   -0.07374 (dps) | Acc: X = 0.00084, Y = 0.00427, Z = 1.00790 (g) | Temp = 33.32 degC 
Gyro: X =   -0.02626, Y =   -0.16031, Z =   -0.05847 (dps) | Acc: X = 0.00133, Y = -0.00012, Z = 0.99838 (g) | Temp = 33.32 degC 
Gyro: X =   -0.07969, Y =   -0.03817, Z =    0.05603 (dps) | Acc: X = 0.00280, Y = 0.00232, Z = 1.00058 (g) | Temp = 33.41 degC 
Gyro: X =   -0.22473, Y =    0.05344, Z =   -0.03557 (dps) | Acc: X = -0.00111, Y = 0.00159, Z = 0.99667 (g) | Temp = 33.32 degC 
Gyro: X =   -0.23237, Y =    0.06107, Z =   -0.15771 (dps) | Acc: X = -0.00086, Y = 0.00598, Z = 0.99984 (g) | Temp = 33.12 degC 
Gyro: X =    0.03481, Y =   -0.18321, Z =    0.06366 (dps) | Acc: X = 0.00084, Y = 0.00061, Z = 0.99813 (g) | Temp = 33.32 degC 
Gyro: X =    0.11115, Y =   -0.01527, Z =   -0.21115 (dps) | Acc: X = -0.00306, Y = 0.00159, Z = 1.00155 (g) | Temp = 33.17 degC 
Gyro: X =    0.01954, Y =    0.16794, Z =    0.04076 (dps) | Acc: X = 0.00133, Y = 0.00110, Z = 1.00009 (g) | Temp = 33.32 degC 
Gyro: X =    0.19511, Y =   -0.09924, Z =   -0.08901 (dps) | Acc: X = -0.00135, Y = 0.00256, Z = 0.99911 (g) | Temp = 33.32 degC 
Gyro: X =    0.08061, Y =   -0.24427, Z =   -0.05847 (dps) | Acc: X = -0.00160, Y = 0.00159, Z = 1.01205 (g) | Temp = 33.17 degC 
Gyro: X =   -0.01863, Y =    0.16031, Z =   -0.01267 (dps) | Acc: X = -0.00306, Y = 0.00281, Z = 1.00473 (g) | Temp = 33.22 degC 
Gyro: X =    0.11878, Y =   -0.02290, Z =    0.15527 (dps) | Acc: X = 0.00475, Y = -0.00012, Z = 0.99862 (g) | Temp = 33.22 degC 
Gyro: X =   -0.09496, Y =    0.00000, Z =   -0.05084 (dps) | Acc: X = -0.00135, Y = -0.00183, Z = 1.00473 (g) | Temp = 33.03 degC 
Gyro: X =    0.01191, Y =   -0.08397, Z =    0.12473 (dps) | Acc: X = -0.00257, Y = -0.00281, Z = 1.00497 (g) | Temp = 33.32 degC 
Gyro: X =   -0.04916, Y =   -0.09924, Z =   -0.13481 (dps) | Acc: X = -0.00160, Y = 0.00061, Z = 0.99887 (g) | Temp = 33.22 degC 
Gyro: X =    0.00427, Y =   -0.09924, Z =   -0.05847 (dps) | Acc: X = 0.00109, Y = -0.00061, Z = 1.00692 (g) | Temp = 33.17 degC 
Gyro: X =   -0.06443, Y =   -0.06107, Z =    0.07893 (dps) | Acc: X = -0.00038, Y = -0.00305, Z = 1.00521 (g) | Temp = 33.32 degC 
Gyro: X =   -0.03389, Y =   -0.29008, Z =   -0.08901 (dps) | Acc: X = -0.00306, Y = 0.00037, Z = 1.00375 (g) | Temp = 33.17 degC 
Gyro: X =    0.31725, Y =   -0.03817, Z =    0.07130 (dps) | Acc: X = -0.00062, Y = 0.00085, Z = 1.00082 (g) | Temp = 33.22 degC 
Gyro: X =    0.09588, Y =    0.10687, Z =    0.12473 (dps) | Acc: X = 0.00133, Y = 0.00427, Z = 0.99887 (g) | Temp = 33.17 degC 
Gyro: X =   -0.08733, Y =   -0.00763, Z =    0.14763 (dps) | Acc: X = -0.00355, Y = 0.00281, Z = 0.99789 (g) | Temp = 33.17 degC 
Gyro: X =    0.14931, Y =    0.04580, Z =    0.01023 (dps) | Acc: X = -0.00038, Y = -0.00110, Z = 0.99887 (g) | Temp = 33.41 degC 
Gyro: X =    0.19511, Y =    0.07634, Z =    0.23924 (dps) | Acc: X = 0.00524, Y = 0.00256, Z = 0.99472 (g) | Temp = 33.17 degC 
Gyro: X =   -0.12550, Y =    0.13740, Z =   -0.08137 (dps) | Acc: X = -0.00257, Y = 0.00452, Z = 1.00058 (g) | Temp = 33.36 degC 
Gyro: X =   -0.15603, Y =    0.10687, Z =    0.14763 (dps) | Acc: X = -0.00111, Y = -0.00134, Z = 1.00131 (g) | Temp = 33.32 degC 
Gyro: X =    0.00427, Y =   -0.14504, Z =    0.08656 (dps) | Acc: X = -0.00135, Y = 0.00500, Z = 1.00692 (g) | Temp = 33.56 degC 
Gyro: X =    0.11115, Y =    0.10687, Z =   -0.31038 (dps) | Acc: X = -0.00111, Y = 0.00037, Z = 0.99667 (g) | Temp = 33.22 degC 
Gyro: X =   -0.01863, Y =   -0.03817, Z =    0.17817 (dps) | Acc: X = 0.00084, Y = -0.00525, Z = 1.00106 (g) | Temp = 33.32 degC 
Gyro: X =   -0.03389, Y =    0.03053, Z =   -0.10427 (dps) | Acc: X = -0.00111, Y = 0.00110, Z = 1.00180 (g) | Temp = 33.12 degC 
Gyro: X =   -0.01099, Y =    0.05344, Z =   -0.02794 (dps) | Acc: X = 0.00109, Y = 0.00134, Z = 1.00326 (g) | Temp = 33.32 degC 
Gyro: X =    0.06534, Y =   -0.07634, Z =    0.12473 (dps) | Acc: X = -0.00453, Y = -0.00110, Z = 1.00180 (g) | Temp = 33.12 degC 
Gyro: X =   -0.08733, Y =   -0.04580, Z =    0.02550 (dps) | Acc: X = 0.00280, Y = -0.00110, Z = 1.00180 (g) | Temp = 33.22 degC 
Gyro: X =    0.27908, Y =    0.12977, Z =   -0.03557 (dps) | Acc: X = -0.00038, Y = -0.00256, Z = 0.99667 (g) | Temp = 33.32 degC 
Gyro: X =    0.14168, Y =    0.13740, Z =   -0.10427 (dps) | Acc: X = -0.00160, Y = 0.00378, Z = 0.99423 (g) | Temp = 33.17 degC 
Gyro: X =    0.00427, Y =    0.02290, Z =    0.19344 (dps) | Acc: X = 0.00329, Y = -0.00012, Z = 0.99984 (g) | Temp = 33.12 degC 
Gyro: X =   -0.02626, Y =    0.01527, Z =    0.29267 (dps) | Acc: X = 0.00158, Y = -0.00085, Z = 1.00399 (g) | Temp = 33.36 degC 
Gyro: X =   -0.02626, Y =   -0.12977, Z =   -0.01267 (dps) | Acc: X = 0.00133, Y = 0.00012, Z = 1.00058 (g) | Temp = 33.17 degC 
Gyro: X =   -0.11023, Y =    0.13740, Z =   -0.06611 (dps) | Acc: X = 0.00548, Y = 0.00159, Z = 1.00277 (g) | Temp = 33.22 degC 
Gyro: X =    0.04244, Y =   -0.00763, Z =   -0.00504 (dps) | Acc: X = -0.00453, Y = 0.00037, Z = 1.00253 (g) | Temp = 33.17 degC 
Gyro: X =   -0.14076, Y =   -0.05344, Z =    0.01786 (dps) | Acc: X = 0.00060, Y = 0.00085, Z = 1.00351 (g) | Temp = 33.22 degC 
Gyro: X =   -0.24000, Y =   -0.14504, Z =   -0.11954 (dps) | Acc: X = -0.00086, Y = 0.00183, Z = 1.00229 (g) | Temp = 33.32 degC 
Gyro: X =   -0.17130, Y =    0.00763, Z =    0.03313 (dps) | Acc: X = -0.00013, Y = 0.00012, Z = 0.99765 (g) | Temp = 33.17 degC 
Gyro: X =   -0.15603, Y =    0.10687, Z =    0.05603 (dps) | Acc: X = 0.00133, Y = 0.00134, Z = 0.99398 (g) | Temp = 33.17 degC 
Gyro: X =   -0.05679, Y =   -0.29771, Z =   -0.36382 (dps) | Acc: X = -0.00282, Y = -0.00134, Z = 1.00521 (g) | Temp = 33.12 degC 
Gyro: X =   -0.02626, Y =    0.08397, Z =   -0.14244 (dps) | Acc: X = -0.00282, Y = 0.00183, Z = 1.00375 (g) | Temp = 33.32 degC 
Gyro: X =   -0.02626, Y =   -0.12977, Z =   -0.11954 (dps) | Acc: X = 0.00109, Y = 0.00134, Z = 1.00277 (g) | Temp = 33.32 degC 
Gyro: X =    0.14931, Y =    0.14504, Z =    0.11710 (dps) | Acc: X = -0.00379, Y = 0.00012, Z = 1.00009 (g) | Temp = 33.22 degC 
Gyro: X =   -0.01099, Y =   -0.27481, Z =   -0.13481 (dps) | Acc: X = -0.00038, Y = -0.00061, Z = 0.99765 (g) | Temp = 33.12 degC 
Gyro: X =   -0.05679, Y =   -0.06870, Z =   -0.02794 (dps) | Acc: X = 0.00084, Y = 0.00159, Z = 1.00351 (g) | Temp = 33.17 degC 
Gyro: X =   -0.09496, Y =   -0.02290, Z =    0.07130 (dps) | Acc: X = -0.00257, Y = 0.00134, Z = 0.99960 (g) | Temp = 33.36 degC 
Gyro: X =   -0.00336, Y =    0.07634, Z =    0.05603 (dps) | Acc: X = 0.00524, Y = 0.00110, Z = 0.99862 (g) | Temp = 33.22 degC 
Gyro: X =    0.02718, Y =    0.30534, Z =   -0.15771 (dps) | Acc: X = 0.00231, Y = -0.00305, Z = 0.99423 (g) | Temp = 33.41 degC 
Gyro: X =    0.09588, Y =    0.02290, Z =   -0.08901 (dps) | Acc: X = -0.00282, Y = 0.00159, Z = 0.99960 (g) | Temp = 33.17 degC 
Gyro: X =   -0.16366, Y =    0.10687, Z =   -0.18824 (dps) | Acc: X = 0.00011, Y = 0.00012, Z = 0.99521 (g) | Temp = 33.32 d
